index,id,keywords,original_language,overview,title,creator
1,8PopR3x-VMY,"Basics of c, c language, c introduction,procedural language",English,Basic concepts of c language,C language-Basic introduction,Dennis
2,gfkTfcpWqAY,"Basics of c#, c# language, c# introduction,type-safe programming",English,"Basics of C# , what is type-safe language, first program on c#",Basics of c#,Qurela
3,OK_JCtrrv-c,"Basics of PHP, PHP introduction",English,"Basics of PHP, First programm in PHP",Basics of PHP,Devid
4,0Ialz7qWfQs,"HTML Basics, Markup Languages",Hindi,"What is HTML, Introduction and first program",Start with HTML,Harsh
5,1rbo_HHt5nw,"Advance HTML, Web page",Hindi,"How to create web page with HTML, Advance Features",HTML Advance,Harsh
6,QMnv3QrjZoU,"HTML and CSS, Cascading",English,"Cascading in HTML,CSS basics",HTML and CSS,Varsha
7,_y9oxzTGERs,"Java Script, Scripting language",English,"Introduction to Java Script, what is Scripting language, Overview",Introduction to Java Script,Kayra
8,nBmAnVzQv3o,"SQL,Database, SQL Installation",English,"What is SQL, Why to use SQL",Introduction to SQL,velen
9,2Fn0WAyZV0E,"Advance SQL, Complex Queries",English,Advance SQL and Complex Queries with solution,Learn Advance SQL,Jason
10,QGVpjkQ3PO4,"Object Oriented Programming, OOPs, Object Oriented Concepts",English,"What is Object Oriented Programming,Object Oriented Concepts",Introduction to OOPs ,Dennis
11,_SH1T3y_D7o,"c++  basics , oops , pointers , operators , file handling",english,OOPs in C++,C++ OOPs concepts,Harry
12,g-1Cn3ccwXY,c++ stl,english,"STL concepts - map,set,vectors etc",C++ STL,Rachit
13,t27W1yUrYmM,competitive coding,english,Competitive coding with c++,CC in C++,Striver
14,eIrMbAQSU34,Java Language,english,Java overview,Java Tutorial,Babbar
15,jmLfIZw2WWY,Core Java,english,Core Java concepts ,Core Java Standard Edition,TechDose
16,vJ-Zn4fo0MQ,Advance Java,english,Advance Java concepts,J2EE Tutorial,Durgesh
17,rj8fdfCQ9bY,Java - Hibernate ,english,Hibernate framework in Java,Hibernate Framework,Durgesh
18,gq4S-ovWVlM,"java , spring",english,Spring MVC Framework,Spring Framework,Harry
19,_uQrJ0TkZlc,Python concepts,hindi,basic python concepts,Python Tutorial,TechGuru
20,RnFGwxJwx-0,"python , data science , machine learning",hindi,machine learning and data science,Machine Learning and Data Science,KRK
21,bum_19loj9A,Data Structures Algorithms,english,About Data Structures,Basics of Data Structures,FreeCodeCamp
22,ytgKbIpddH8,Data Structures Algorithms,english,Some important Data Structures,"Application of Linked List, Stack,Queues,Graphs",NMAMIT Nittee
23,oL5bmRUbAJ4,Data Structures Algorithms,english,How to Work on Bitmasking / Bitmanipulation,Bitmasking / Bitmanipulation,Anuj Bhaiya
24,oBt53YbR9Kk,Data Structures Algorithms,english,What is Dynamic Programming,Dynamic Programming,Abdu Bhari
25,zRza99HPvkQ,Data Structures Algorithms,english,How 0/1 Knapsack problem works,0/1 Knapsack problem works,Abdu Bhari
26,4V30R3I1vLI,Data Structures Algorithms,english,Advantage of Recurrence Relation ,Recurrence Relation ,Abdu Bhari
27,mB5HXBb_HY8,Data Structures Algorithms,english,How to do Merge Sort,Merge Sort,Abdu Bhari
28,7h1s2SojIRw,Data Structures Algorithms,english,How to do Quick Sort,Quick Sort,Abdu Bhari
29,ARvQcqJ_-NY,Data Structures Algorithms,english,What is Greedy Method,Greedy Algorithm,Abdu Bhari
30,JxmwHAGcuxk,Data Structures Algorithms,english,How Dijkstra algorithm works,Greedy Method,
